temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,generated_power_kw
15.93,25,1025,0,0,1.8,706.66,19.84,11.51,2888.6197
17.81,32,1028.7,0,0,0,709.33,16.07,344.41,2885.0596
14.56,39,1029.6,0,0,0,808.12,20.09,36.25,2882.3406
6.68,59,1017.1,0,0,0,614.1,29.08,338.2,2881.9097
13.21,38,1017.9,0,0,0,823.25,18.33,315,2879.6863
17.76,35,1010.4,0,0,0,825.03,14.76,12.68,2874.1014
14.14,20,1029.5,0,0,0,696.87,22.38,168.87,2874.0353
8.18,50,1029.4,0,0,0,606.98,11.28,163.3,2867.343
9.52,49,1023.9,0,0,1.5,632.79,28.8,161.79,2860.7503
10.76,53,1030.5,0,0,0,606.98,16.87,33.69,2860.7291
16.75,26,1024.5,0,0,4.5,734.25,13.61,37.48,2859.7307
6.46,56,1025.8,0,0,29,586.51,27.76,9.71,2857.5967
17.88,45,1027.2,0,0,0,708.44,16.39,340.77,2857.0071
16.12,38,1012.9,0,0,0,813.46,14.02,41.88,2852.2145
16.24,40,1024,0,0,0,534.89,16.61,299.9,2850.3126
3.74,42,1036.3,0,0,1.2,490.39,16.64,51.15,2849.3513
0.85,73,1028,0,0,28,351.55,35.57,158.63,2848.8113
6.77,44,1016.7,0,0,0,534,12.3,159.44,2848.1827
11.15,43,1015,0,0,0,607.87,13.36,14.04,2847.8031
18.08,38,1028.1,0,0,2.4,772.52,12.43,349.99,2842.0558
19,31,1028.1,0,0,0,804.56,17.11,8.47,2840.5825
4.01,45,1033.4,0,0,93,489.5,19.48,16.09,2839.5309
15.14,45,1023.3,0,0,0,765.4,26.16,145.65,2834.7809
15.76,36,1012.7,0,0,0,604.31,10.23,309.29,2830.3296
18.33,33,1022.2,0,0,0,854.4,36.93,136.97,2824.6611
15.53,35,1010.3,0,0,0,630.12,9.39,32.47,2823.7859
17.49,34,1023.1,0,0,0,836.6,36.69,137.39,2822.9876
3.86,47,1031,0,0,0,502.85,20.61,27.01,2822.5761
14.88,32,1028.7,0,0,0,614.99,11.02,38.37,2822.5712
18.1,22,1024.4,0,0,5.4,817.02,8.89,31.76,2822.1077
13.07,44,1023.5,0,0,3.6,839.27,28.39,12.45,2820.1681
16.2,33,1026.1,0,0,0,639.02,4.69,4.4,2820.1406
18.74,24,1028.1,0,0,0,786.76,20.78,345.96,2820.1377
7.92,47,1016.6,0,0,0,630.12,16.12,29.43,2818.3444
18.36,37,1016.7,0,0,100,720.01,1.94,291.8,2813.4818
12.23,38,1025.1,0,0,0,865.08,24.99,36.21,2810.1854
12,44,1018.3,0,0,0,707.55,18.33,315,2808.3628
12.81,35,1023.2,0,0,0,874.87,19.8,27.03,2807.2306
20.8,40,1012.2,0,0,100,418.3,5.76,360,2806.1374
5.72,51,1028.1,0,0,0,435.21,14.78,357.21,2805.2676
5.24,63,1032.5,0,0,0,393.38,19.05,157.8,2804.8013
17.26,24,1027.9,0,0,0,699.54,6.3,30.96,2800.9035
14.63,40,1018.7,0,0,0,886.44,19.6,314.26,2799.6825
16.92,48,1027,0,0,0,583.84,14.49,333.43,2798.8026
20.32,37,1020.7,0.6,0,10,268.78,3.24,90,2797.9506
2.31,60,1019.3,0,0,0,405.84,29.43,345.11,2795.9993
17.27,26,1024.7,0,0,0,722.68,10.85,354.29,2791.1566
20.81,27,1014.1,0,0,0,686.19,15,329.74,2790.1867
18.65,43,1018.7,0,0,0,647.03,32.1,156.89,2783.9359
15.44,47,1018.2,0,0,10,776.08,20.63,186.01,2782.8494
20.91,24,1014.7,0,0,0,830.37,24.34,187.65,2781.5295
17.56,35,1018.3,0,0,0,707.55,6.61,150.64,2777.9056
15.49,23,1024.9,0,0,3.9,615.88,10.44,43.6,2776.8061
15.38,49,1014.9,0,0,33,796.55,25.96,163.07,2775.9501
17.58,19,1024.2,0,0,0,719.12,10.14,353.88,2774.5503
8.42,53,1021,0,0,3.3,574.94,21.19,279.78,2774.0572
16.48,29,1024.7,0,0,0,637.24,2.19,350.54,2771.6524
19.9,39,1021.8,0,0,0,695.09,21.61,169.44,2769.6178
19.87,50,1012.4,0,0,10,723.57,14.4,1.43,2768.5681
6.46,64,1027.4,0,0,0,515.31,15.33,350.54,2768.1883
12.26,54,1023.6,0,0,100,614.99,21.87,327.09,2767.1597
15.12,43,1017.8,0,0,0,849.95,4.58,135,2766.9354
18.29,25,1024.7,0,0,0,713.78,5.94,14.04,2766.9008
15.85,42,1014.8,0,0,100,677.29,11.81,307.57,2766.8408
13.95,40,1013.6,0,0,0,496.62,9.39,302.47,2763.6964
13.38,46,1027.9,0,0,7.8,593.63,15.84,360,2763.0826
15.7,40,1026.6,0,0,0,855.29,28.5,27.86,2758.105
10.63,59,1014.1,0,0,32,525.1,11.92,298.89,2754.425
11.27,48,1023.9,0,0,6.3,736.92,30.43,10.91,2752.6902
12.79,37,1023.6,0,0,0,547.35,12.66,14.83,2748.8261
5.63,64,1022.9,0,0,0,364.01,8.67,274.76,2748.0358
10.64,20,1030.2,0,0,0,485.05,13.56,169.29,2746.9364
9.81,48,1030.9,0,0,0,713.78,24.15,26.57,2746.2333
16.93,33,1028.9,0,0,0,585.62,17.07,335.06,2745.8985
6.96,35,1022.5,0,0,0,762.73,21.76,38.96,2742.1568
0.15,78,1016.6,0,0,15,302.6,53.03,325.23,2741.3694
8.48,34,1034.1,0,0,0,722.68,21.25,63.87,2739.6307
17.42,47,1019.7,0,0,10,523.32,32.43,157.14,2738.9517
10.65,42,1026.3,0,0,0,754.72,24.29,39.59,2736.1097
1.21,83,1025.4,0,0,100,238.52,16.52,11.31,2736.0958
22.36,26,1017.6,0,0,0,727.13,14.76,347.32,2731.1986
19.41,25,1014.3,0,0,0,571.38,14.17,332.78,2727.4636
19.5,26,1016,0,0,0,722.68,23.8,183.47,2727.1328
2.34,59,1025.8,0,0,0.3,398.72,20.77,297.9,2724.477
13.79,37,1025.7,0,0,0,923.82,24.86,34.38,2722.5252
14.33,33,1022.5,0,0,0,936.28,23.36,33.69,2720.9167
15.84,50,1027.2,0,0,0,481.49,33.2,170.64,2720.5597
10.53,42,1024.9,0,0,0,765.4,17.58,22.89,2719.9631
16.89,41,1018.7,0,0,0,867.75,25.57,32.35,2719.7942
17.36,29,1020.7,0,0,0,718.23,11.73,342.12,2719.7232
14.6,35,1021.5,0,0,0,857.07,29.46,144.95,2717.1814
16.18,41,1023.6,0,0,0,835.71,24.41,142.79,2716.8042
12.24,41,1015.3,0,0,0,668.39,17.02,6.07,2715.8421
20.06,39,1020.6,0,0,23,490.39,5.15,102.09,2715.2189
15.31,42,1023.2,0,0,0,914.03,27.32,18.43,2715.1876
20.11,27,1022.2,0,0,0,710.22,16.81,313.26,2714.9986
22.03,25,1017.7,0,0,10,464.58,6.57,9.46,2714.4986
15.44,45,1019.5,0,0,0,592.74,4.2,120.96,2711.3911
11.55,63,1015.9,0,0,100,598.08,26.9,164.48,2710.3849
0.9,50,1035.2,0,0,1,299.04,11.11,24.9,2709.7533
18.52,37,1014.1,0,0,11.7,766.29,11.92,295.02,2708.8561
18.3,44,1022.1,0,0,0,580.28,22.03,168.69,2707.7561
24.81,40,1011.4,0,0,10,795.66,10.82,356.19,2706.2756
13.54,30,1029.6,0,0,0,485.05,7.24,26.57,2705.2294
16.22,48,1022.3,0,0,0,843.72,22.26,22.83,2704.4225
15.06,34,1025.9,0,0,0,505.52,0.72,270,2704.2585
12.77,51,1018.6,0,0,0,736.03,4.02,116.57,2703.4781
13.86,44,1027.5,0,0,0,747.6,25.62,24.04,2703.1475
22.16,27,1018.6,0,0,59,724.46,14.66,24.68,2702.8226
20.85,38,1022.7,0,0,1.5,835.71,6.15,159.44,2698.9019
22.93,24,1020.6,0,0,0,696.87,7.99,324.16,2697.166
14.54,37,1025.9,0,0,4.2,493.06,12.37,8.37,2697.1626
17.08,27,1019.4,0,0,0,643.47,8.09,327.72,2696.244
20.91,33,1020.3,0.5,0,10,451.23,8.56,14.62,2694.2201
17.14,47,1009.1,0,0,6.9,716.45,22.7,207.38,2692.8186
16.51,48,1020,0,0,0,833.93,20.3,307.07,2692.6499
18.97,30,1019.2,0,0,0,771.63,5.9,37.57,2692.0972
10.87,44,1021,0,0,1.5,747.6,20.12,26.57,2691.2331
15.79,38,1018.8,0,0,100,600.75,4.1,307.87,2689.6781
7.28,69,1026.3,0,0,47,381.81,2.6,236.31,2689.5167
7.28,51,1025.3,0,0,0,679.07,25.05,7.43,2689.2852
18.19,46,1011.2,0,0,21,595.41,24.1,193.83,2689.2308
18.38,47,1022.9,0,0,0,841.05,15.14,25.35,2687.9616
6.09,51,1026.6,0,0,0,455.68,45.66,165.85,2684.0389
10.76,40,1024.5,0,0,2.1,445,10.82,3.81,2683.0975
14.27,59,1027.8,0,0,0,379.14,34.68,170.44,2682.9371
23.56,28,1011,0,0,5.4,702.21,14.76,192.68,2680.6229
16.4,23,1013.8,0,0,0,669.28,8.91,345.96,2679.2458
14.83,45,1024.2,0,0,10,441.44,13.38,293.81,2678.9464
8.24,64,1032.7,0,0,0,374.69,20.28,173.88,2677.5709
15.51,24,1030.7,0,0,0,615.88,17.31,3.58,2676.6376
20.23,37,1019.6,0,0,0,713.78,28.19,155.07,2676.0733
21.32,34,1017.5,0,0,2,733.36,7.42,39.09,2675.8306
10.59,33,1044,0,0,0,372.91,5.96,154.98,2675.5011
23.85,39,1007.9,0,0,10,679.07,28.56,213.69,2675.3517
21.35,32,1014.4,0,0,0,752.94,19.41,319.51,2674.0361
13.76,40,1026.3,0,0,2.1,464.58,5.09,351.87,2673.1679
22.77,23,1019.1,0,0,0,764.51,0,180,2669.8543
22.95,44,1010.8,0,0,100,305.27,1.84,101.31,2669.6589
4.5,31,1024.7,0,0,0,478.82,7.79,303.69,2668.6514
20.74,40,1022.5,0,0,0,761.84,16.62,175.03,2668.1111
14.42,38,1026.3,0,0,0,508.19,1.8,360,2666.7428
17.67,22,1025.3,0,0,0,482.38,3.32,192.53,2666.1872
0.86,54,1032.8,0,0,0,291.03,15.63,14.68,2664.7049
19.02,35,1010.6,0,0,0,763.62,16.28,288.03,2664.4003
22.15,43,1013.6,0,0,10,794.77,14.06,357.06,2661.7714
23.57,24,1016.2,0,0,0,690.64,15.78,297.15,2661.7455
4.91,53,1023.9,0,0,0,598.08,37.04,154.68,2661.2573
4.92,54,1027.1,0,0,0,310.61,28.24,348.98,2661.0381
16.3,53,1020,0,0,30,433.43,23.84,154.98,2660.9058
21.42,30,1017.9,0,0,0,610.54,13.9,343.44,2660.8495
13.17,16,1029.7,0,0,69,408.51,11.97,173.09,2659.4475
23.84,25,1011.2,0,0,2,772.52,19.88,215.42,2658.3089
17.51,37,1027.4,0,0,0,922.93,28.66,32.69,2656.4206
17.5,38,1022.7,0,0,0,855.29,22.33,20.77,2656.2
3.9,58,1027.7,0,0,0,572.27,27.56,19.86,2653.3225
12.47,39,1020,0,0,2.1,853.51,19.72,21.41,2652.6202
9.29,33,1015.8,0,0,0,771.63,11.73,162.12,2651.5866
13.57,46,1014.7,0,0,100,782.31,10.81,358.09,2650.575
15.35,41,1019.6,0,0,0,759.17,23.53,29.31,2650.4673
24.97,28,1012.5,0,0,0.6,825.92,8.44,320.19,2650.4372
29.1,21,1018.9,0,0,0,769.85,7.34,281.31,2650.0081
18.34,57,1013,0,0,0,622.11,12.96,360,2649.3127
3.6,69,1014,0,0,39,380.03,31.14,349.34,2648.7486
13.47,42,1019.4,0,0,0,752.05,15,30.26,2647.8592
20.44,48,1013.4,0,0,10,775.19,16.24,3.81,2647.0167
13.75,51,1023.7,0,0,0,454.79,6.84,360,2645.8714
15.49,35,1028.6,0,0,0,831.26,20.02,37.69,2645.7264
16.6,51,1024.1,0,0,0.3,743.15,13.44,20.38,2645.6467
17.13,27,1023.5,0,0,0,477.93,6.64,192.53,2645.2719
20.66,33,1017.4,0,0,0,671.95,11.77,23.43,2644.9907
15.19,66,1010.6,0,0,100,194.02,5.63,116.57,2644.3247
17.19,51,1031.4,0,0,0,476.15,6.3,30.96,2643.3625
15.06,19,1028.6,0,0,0,725.35,21.19,170.22,2640.6783
21.62,27,1021,0,0,0,582.06,6.88,317.12,2640.6503
7.73,27,1034.4,0,0,0,375.58,6.21,10.01,2640.2034
13.86,37,1020.2,0,0,0,922.93,20.28,16.5,2640.1774
19.41,35,1018.1,0,0,0,861.52,14.69,30.96,2637.8429
6.32,62,1035.1,0,0,0,373.8,1.3,326.31,2637.6611
4.49,63,1029.2,0,0,0,307.94,12.62,356.73,2634.1726
18.54,36,1022.9,0,0,0,534,9.11,350.91,2633.5367
22.95,25,1017.1,0,0,0,797.44,15.32,336.45,2632.0703
16.1,47,1017.3,0,0,0,687.97,8.21,142.13,2627.8439
18.07,40,1022.3,0,0,3.3,903.35,20.61,19.38,2627.8401
12.46,36,1038.8,0,0,0,384.48,3.4,327.99,2627.5657
22.47,26,1017.6,0,0,0,343.54,4.45,104.04,2626.5939
14.45,55,1019.8,0,0,100,316.84,8.35,262.57,2626.1294
9.36,34,1029.1,0,0,39,378.25,7.73,332.24,2625.5014
5.11,71,1019.9,0,0,30,359.56,3.83,221.19,2625.0994
18.1,41,1020.8,0,0,0,898.9,21.89,306.3,2624.6956
23.05,27,1017.6,0,0,10,673.73,13.8,344.88,2622.6328
18.15,34,1019.6,0,0,0,938.95,26.08,26.21,2622.2036
13.24,14,1033.2,0,0,0,426.31,12.73,171.87,2620.885
27.26,23,1015.1,0,0,0,825.92,10.44,223.6,2620.045
18,29,1023.6,0,0,3,752.94,30.55,135.95,2618.7294
22.65,40,1021.1,0,0,0,856.18,8.37,115.46,2617.5703
16.43,24,1024.5,0,0,0,737.81,20.73,20.32,2617.3262
12.84,51,1013.5,0,0,5,813.46,9.69,301.33,2614.952
24.96,28,1014.3,0,0,10,806.34,9.51,330.52,2614.9488
16.79,39,1018.1,0,0,0,914.92,21.14,47.07,2614.0369
6.66,43,1025.8,0,0,100,576.72,44.36,164.95,2613.1881
12.73,33,1032.3,0,0,0,420.97,0.8,26.57,2612.9506
22.51,25,1017.3,0,0,0,577.61,14.18,293.96,2612.5305
22.54,30,1012.1,0,0,4.8,594.52,11.73,197.88,2612.3256
19.47,44,1023.7,0,0,0,728.91,6.49,160.56,2612.2005
14.67,47,1023.2,0,0,0,599.86,17.58,22.89,2611.8014
14.77,35,1025.4,0,0,0,463.69,3.98,185.19,2611.7934
23.86,23,1020.7,0,0,0,757.39,8.91,316.64,2611.4247
27.48,23,1017.2,0,0,0,780.53,10.39,14.04,2610.7439
15.11,31,1024.3,0,0,0,372.91,9.53,190.89,2610.6869
21.47,40,1015.3,0,0,0,851.73,11.61,7.13,2609.307
-0.62,81,1017,0,0,33,313.28,49.55,319.71,2607.9262
17.63,28,1029.3,0,0,0,484.16,1.44,270,2607.4288
10.28,44,1029.3,0,0,0,457.46,13.98,168.11,2607.0784
16.84,36,1012.4,0,0,0,833.93,15.78,45,2607.0379
14.39,28,1024.7,0,0,1.2,507.3,1.44,270,2605.223
22.03,36,1021.1,0,0,0,916.7,14.81,25.94,2604.9215
18.04,33,1010,0,0,0,844.61,14.47,5.71,2604.5209
24.55,25,1018.3,0,0,0,829.48,10.16,157.07,2604.2594
10.63,19,1031,0,0,88,309.72,11.17,178.15,2603.0056
19.61,31,1022.3,0,0,0,645.25,10.93,342.76,2602.1639
15.13,25,1025.8,0,0,0,377.36,5.48,203.2,2601.5933
25.76,42,1015.8,0,0,10,725.35,14.26,169.82,2601.1618
19.75,49,1011,1.1,0,100,259.88,24.46,212.99,2599.9682
19.3,36,1015.8,0,0,100,658.6,25.15,279.06,2599.7489
20.95,29,1010.5,0,0,0,833.04,15.04,281.04,2598.9283
18.11,49,1018.3,0,0,0,682.63,20.27,326.59,2598.7353
19.17,36,1027.4,0,0,0,801.89,13.8,344.88,2597.9899
17.96,59,1026.3,0,0,0,474.37,21.61,169.44,2596.7036
14.97,54,1022.8,0,0,0.6,747.6,23.36,24.59,2595.5184
1.3,61,1026.6,0,0,0.3,272.34,18.2,294.54,2595.2027
17.36,44,1011,0,0,0,648.81,15.32,293.55,2594.8739
19.9,39,1017.9,0,0,0,603.42,8.91,46.64,2594.7578
3.97,76,1021.7,0,0,100,217.16,26.12,172.87,2594.6142
13.61,52,1029.4,0,0,8.1,372.91,4.33,4.76,2592.0347
24.91,41,1012.3,0,0,10,768.07,7.39,46.97,2592.0194
31.01,8,1012.6,0,0,0,812.57,18.09,222.58,2590.5403
9.45,65,1025.4,0,0,4,457.46,3.98,354.81,2590.2565
24.33,25,1016.9,0,0,10,800.11,26.3,177.65,2590.14
14.84,53,1030.9,0,0,0,461.02,15.38,163.69,2589.4285
7.65,48,1033.3,0,0,0,313.28,3.4,212.01,2586.6969
9.02,48,1028.8,0,0,0,637.24,5.19,146.31,2584.3651
9.38,70,1016.9,0,0,37,459.24,27.26,167.8,2582.9049
23.8,34,1014.2,0,0,0,885.55,9.11,18.43,2582.7331
28.64,32,1017,0,0,10,824.14,12.31,344.74,2582.5525
9.83,49,1025.7,0,0,1.5,372.02,13.1,164.05,2581.48
10.69,18,1034.5,0,0,0,316.84,11.53,178.21,2581.3196
13.69,48,1019,0,0,10,652.37,23.78,177.4,2581.0272
22.89,26,1017.1,0,0,0,831.26,21.89,323.7,2580.5132
17.59,67,1001.2,0.1,0,32,179.78,32.59,224.1,2579.8419
17.58,40,1019.1,0,0,0,755.61,13.68,26.57,2578.2922
15.16,64,1017.8,0,0,100,410.29,28.12,177.06,2577.9178
8.86,41,1026.8,0,0,0,447.67,10.08,360,2577.2011
12.19,56,1024.4,0,0,0,350.66,5.15,347.91,2575.9782
23.22,36,1019.7,0,0,0,861.52,14.58,20.22,2574.693
7.43,80,1031.3,0,0,100,303.49,2.9,119.74,2574.6883
18.03,24,1024.4,0,0,0,750.27,11.18,356.31,2574.2649
27.91,27,1015.8,0,0,0,747.6,9.01,182.29,2574.2581
19.15,25,1024.7,0,0,0,739.59,7.64,8.13,2574.2355
19.43,33,1022.6,0,0,0,927.38,18.43,12.41,2571.5686
28.89,26,1016.2,0,0,1.8,740.48,23.41,178.24,2571.189
19.65,24,1027.8,0,0,0,806.34,19.73,345.2,2570.0332
15.58,54,1031.8,0,0,0,372.91,3.83,41.19,2568.7744
12.3,48,1042.4,0,0,0,453.9,9.45,17.74,2568.4284
10.78,38,1024.3,0,0,0,380.03,21.32,258.31,2568.2777
16.27,45,1014.7,0,0,100,777.86,25.28,162.6,2568.1236
15.07,28,1030.2,0,0,0,379.14,3.6,233.13,2567.7933
8.03,45,1030.6,0,0,0,449.45,6.19,35.54,2567.6217
7.56,67,1017.5,0,0,100,633.68,10.95,350.54,2567.4989
16.66,54,1016.9,0,0,100,486.83,28.5,176.38,2567.3583
24.14,20,1017.5,0,0,0,758.28,12.54,320.83,2567.2183
25.31,21,1012,0,0,0,784.09,12.64,199.98,2564.167
15.33,40,1018.7,0,0,0,900.68,19.11,312.71,2564.0957
22.51,31,1017.2,0,0,0,921.15,16.6,24.34,2564.0717
22.49,34,1015.2,0,0,10,866.86,12.73,351.87,2563.87
25.01,22,1019.2,0,0,88,823.25,26.69,169.9,2563.0964
28.08,21,1013.6,0,0,6,832.15,24.7,198.7,2562.8975
15.07,60,1016,0,0,10,483.27,16.56,178.75,2562.8895
16.66,38,1023.3,0,0,0,749.38,22.67,10.06,2561.3303
30.92,21,1014.2,0,0,0,884.66,11.71,315,2561.2911
16.84,65,1026.8,0,0,0,372.91,20.42,170.87,2561.1805
10.47,48,1019.2,0,0,0,557.14,17.07,317.56,2560.7287
18.25,60,1024.8,0,0,1,478.82,9.45,162.26,2560.4694
18.34,33,1022.4,0,0,0,820.58,38.17,144.21,2560.4028
21.55,39,1022.5,0,0,4.2,716.45,28.66,168.41,2560.193
9.88,60,1025,0,0,0.3,558.03,21.99,320.31,2559.2473
12.57,41,1026.6,0,0,0,358.67,4.8,192.99,2558.9606
21.11,45,1013.9,0,0,10,744.04,14.08,355.6,2558.9411
25.67,33,1013.1,0,0,0,819.69,11.17,1.85,2558.405
28.39,33,1012.8,0,0,0,802.78,11.27,333.43,2558.2554
24.62,26,1019.4,0,0,6.9,827.7,24.29,173.19,2557.7281
24.31,38,1012,0,0,0.6,763.62,9.9,19.09,2556.4758
8.16,68,1033.3,0,0,2,375.58,15.28,15.02,2555.6055
26.93,25,1014.5,0,0,0,749.38,20.12,227.17,2555.2162
23.13,28,1020.5,0,0,6.6,724.46,24.5,169.85,2555.1069
14.32,27,1032.5,0,0,0,462.8,6.88,276.01,2554.7255
20.83,27,1019.6,0,0,0,647.92,1.61,243.43,2554.545
15.45,45,1028.9,0,0,8.1,474.37,7.52,16.7,2554.0569
22.64,18,1018.3,0,0,12,561.59,16.1,169.7,2553.9398
16.65,33,1018,0,0,0,914.03,3.22,296.57,2553.4117
29.89,30,1013.9,0,0,0,809.01,2.1,300.96,2553.3528
23,35,1021.5,0,0,2.7,821.47,27.05,170.04,2553.3159
27.39,18,1019.2,0,0,0,885.55,13.14,9.46,2552.4529
25.3,34,1011.4,0,0,0,817.02,16.3,329.47,2551.6754
26.53,26,1019.5,0,0,1.5,885.55,20.77,188.97,2551.011
18.58,24,1023.2,0,0,30,799.22,11.79,31.26,2550.4818
26.17,19,1017.3,0,0,0,855.29,21.46,157.31,2550.3631
26.26,23,1015.2,0,0,0,914.03,14.29,310.91,2550.153
4.01,70,1036.3,0,0,0,255.43,4.02,243.43,2549.8831
10.07,58,1031.7,0,0,0,372.91,14.47,174.29,2549.7753
24.06,42,1018.1,0,0,0,799.22,15.73,15.95,2549.1047
5.99,54,1026.1,0,0,0,412.96,30.19,351.77,2548.8546
16.34,53,1030,0,0,100,380.03,3.26,353.66,2548.6731
17.29,49,1027.1,0,0,0,538.45,29.34,173.66,2548.5719
12.95,61,1031.7,0,0,0,357.78,15.68,170.75,2547.7544
14.8,34,1025.8,0,0,0.3,515.31,10.18,8.13,2547.4292
8.69,29,1034.6,0,0,0,449.45,6.29,23.63,2546.0816
18.15,24,1027.6,0,0,0,727.13,7.15,49.09,2545.2561
21.77,48,1013.7,0,0,10,582.06,5.15,245.22,2544.22
25.41,24,1017.6,0,0,0,865.08,12.98,19.44,2543.7755
11.25,48,1026.7,0,0,3.6,361.34,1.8,270,2543.735
5.95,73,1034.2,0,0,0,255.43,21.25,178.06,2542.4739
21.72,42,1016.3,0,0,0,825.03,19.39,21.8,2541.7608
14.52,28,1027.8,0,0,14,446.78,2.52,360,2537.5647
22.43,37,1023.1,0,0,0,901.57,4.9,36.03,2537.5612
5.93,76,1027.6,0,0,40,258.1,3.32,282.53,2537.5603
22.27,40,1013.8,0,0,0,779.64,6.19,324.46,2537.5557
26.03,27,1014.9,0,0,0,755.61,15.53,224.06,2537.5319
11.69,41,1014.5,0,0,0,347.99,6.03,287.35,2537.3799
12.26,33,1037.5,0,0,29,369.35,4.84,318.01,2536.1985
8.21,65,1032,0,0,0,447.67,14.33,25.28,2535.9097
11.34,33,1035.3,0,0,0,366.68,2.9,29.74,2534.3489
9.49,40,1040,0,0,0,263.44,2.62,285.95,2533.2102
28.61,30,1014.8,0,0,45,728.91,33.97,164.64,2532.109
13.12,44,1027.8,0,0,0,382.7,12.31,164.74,2531.2419
11.91,44,1025.2,0,0,1.5,436.99,12.02,171.38,2530.4617
0.72,59,1028.9,0,0,0,358.67,19.24,17.42,2530.0079
19.81,30,1027.2,0,0,8.1,821.47,16.6,12.53,2529.9274
15.16,39,1023.5,0,0,0,510.86,6.99,11.89,2529.3766
24.93,28,1015.3,0,0,0,639.91,15.04,222.09,2529.3587
16.77,66,1025.5,0,0,16,379.14,9.47,171.25,2529.3347
14.96,62,1023,0,0,66,550.02,9,360,2529.1166
25.65,30,1019.7,0,0,0,847.28,8.44,230.19,2529.0295
5.05,51,1017.7,0,0,0,366.68,11.17,159.23,2528.7962
27.25,29,1016,0,0,0,839.27,5.24,195.95,2527.7304
29.62,24,1017.7,0,0,0,760.95,15.38,200.56,2527.6392
5.82,30,1035.4,0,0,0,258.1,3.6,323.13,2527.6092
27.06,36,1014.6,0,0,0,807.23,22.61,193.82,2526.7089
14.71,12,1029.8,0,0,75,471.7,11.66,171.12,2526.5819
21.75,22,1014.3,0,0,0,897.12,25.81,202.99,2526.3101
25.05,25,1018,0,0,0,668.39,9.5,37.3,2522.2417
7.06,47,1030.9,0,0,15,264.33,3.32,319.4,2522.2383
27.05,30,1011.9,0,0,0,881.1,18.6,312.65,2521.1361
22.57,23,1017.7,0,0,4.5,728.02,19.77,326.89,2520.9164
23.68,41,1013,0,0,10,686.19,14.2,329.53,2520.7127
5.02,44,1030.6,0,0,0,526.88,21.43,29.15,2520.3628
17.17,34,1018.1,0,0,100,705.77,2.6,326.31,2518.3639
28.9,18,1014.1,0,0,3,910.47,25.45,205.11,2518.2989
4.94,40,1032.5,0,0,0.3,530.44,21.13,13.8,2517.6672
30.47,15,1013.3,0,0,0,885.55,19.64,221.28,2516.371
16.96,35,1026.3,0,0,0.6,822.36,16.26,354.92,2516.2902
26.08,34,1012.2,0,0,0,644.36,24.58,211.83,2515.3178
23.64,35,1014.8,0,0,10,724.46,1.08,180,2515.1876
